                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0883,                 1.1853,                 1.0477,                0.64915,                0.54259,                 0.5782,                  0.366,                 1.0249,                 1.4868,                 1.0141,               0.008911,               0.008911,               0.008911
                     35,                 1.0906,                 1.1538,                 1.0414,                0.71791,                0.61218,                0.62465,                0.40243,                 1.0307,                0.99959,                 1.0082,               0.008878,               0.008878,               0.008878
                     36,                 1.1103,                 1.1398,                 1.0671,                 0.6955,                0.65069,                0.62863,                0.40901,                0.99611,                 1.0103,                0.97477,               0.008845,               0.008845,               0.008845
                     37,                 1.1372,                 1.1507,                  1.062,                0.66946,                0.63097,                0.58032,                0.38072,                0.98196,                 1.0179,                 0.9861,               0.008812,               0.008812,               0.008812
                     38,                 1.0331,                 1.0862,                 1.0345,                0.70271,                0.60611,                0.63163,                0.42699,                0.95375,                 1.0198,                0.97014,               0.008779,               0.008779,               0.008779
                     39,                 1.0695,                 1.1393,                 1.0276,                0.78493,                0.58098,                0.64698,                0.42373,                0.96196,                 1.0156,                0.96687,               0.008746,               0.008746,               0.008746
                     40,                 1.0756,                 1.1898,                 1.0735,                0.73302,                0.65935,                0.67184,                0.43878,                0.99299,                 1.0295,                0.97455,               0.008713,               0.008713,               0.008713
                     41,                 1.0546,                 1.1207,                 1.0669,                0.75656,                0.67216,                0.67421,                0.44309,                0.97349,                 1.0005,                0.97038,                0.00868,                0.00868,                0.00868
                     42,                 1.0702,                 1.1144,                 1.0362,                0.71829,                 0.6294,                0.66573,                 0.4372,                 0.9782,                 1.0934,                0.97686,               0.008647,               0.008647,               0.008647
                     43,                 1.1049,                 1.0964,                 1.0513,                0.79787,                0.62469,                0.68325,                0.45209,                 0.9577,                0.90512,                0.96913,               0.008614,               0.008614,               0.008614
                     44,                 1.0339,                 1.0154,                 1.0083,                0.72944,                0.66639,                0.66972,                0.43832,                 1.0392,                0.96766,                0.99894,               0.008581,               0.008581,               0.008581
                     45,                 1.1045,                 1.0793,                 1.0556,                0.81803,                 0.5995,                0.68817,                0.46249,                0.92252,                0.96392,                0.95674,               0.008548,               0.008548,               0.008548
                     46,                 1.0997,                 1.0419,                 1.0632,                0.82248,                 0.6395,                0.68843,                0.45418,                 1.0434,                0.92423,                  1.001,               0.008515,               0.008515,               0.008515
                     47,                 1.0456,                 1.0232,                 1.0401,                0.76995,                0.58898,                0.65854,                0.44318,                0.92535,                 0.9947,                0.95766,               0.008482,               0.008482,               0.008482
                     48,                 1.0167,                 1.0377,                 1.0219,                 0.7571,                0.66615,                0.70377,                0.47259,                0.94932,                0.95555,                0.97809,               0.008449,               0.008449,               0.008449
                     49,                 1.0189,                 1.0626,                 1.0564,                 0.8059,                0.64951,                0.71339,                0.47452,                0.95115,                0.98464,                0.97058,               0.008416,               0.008416,               0.008416
                     50,                 1.0231,                 1.0355,                 1.0282,                0.84684,                0.67958,                0.71848,                0.48459,                0.91424,                0.84655,                0.96187,               0.008383,               0.008383,               0.008383
                     51,                 1.0303,                0.98662,                 1.0275,                 0.8368,                 0.6901,                0.72729,                0.48149,                 0.9759,                0.87542,                0.98134,                0.00835,                0.00835,                0.00835
                     52,                0.99177,                0.97434,                 1.0068,                0.86147,                0.65892,                0.73241,                0.49349,                0.92904,                0.85819,                0.96588,               0.008317,               0.008317,               0.008317
                     53,                  1.064,                0.97727,                 1.0245,                0.81981,                0.71236,                0.73246,                0.48672,                 1.0239,                0.84871,                0.99201,               0.008284,               0.008284,               0.008284
                     54,                 1.0152,                0.95654,                 1.0228,                0.83827,                0.68271,                0.73977,                0.50108,                0.88824,                0.82789,                0.94479,               0.008251,               0.008251,               0.008251
                     55,                 1.0483,                 1.0056,                  1.045,                 0.8248,                0.65812,                0.71734,                0.46187,                 1.1092,                 0.9103,                 1.0088,               0.008218,               0.008218,               0.008218
                     56,                 1.1179,                 1.0012,                 1.0327,                0.86139,                0.66989,                0.74473,                0.51378,                0.88234,                0.74937,                0.93683,               0.008185,               0.008185,               0.008185
                     57,                0.98891,                0.92152,                0.99853,                0.88104,                0.67186,                0.76263,                0.51468,                0.94459,                0.79485,                0.95508,               0.008152,               0.008152,               0.008152
                     58,                 1.0312,                0.95509,                 1.0329,                0.87584,                0.66237,                0.74516,                0.50597,                0.90296,                0.81133,                0.95205,               0.008119,               0.008119,               0.008119
                     59,                 1.0283,                0.95595,                 1.0207,                0.90099,                0.71282,                0.77845,                0.51367,                0.91894,                0.75474,                 0.9575,               0.008086,               0.008086,               0.008086
                     60,                0.97658,                0.93008,                0.97098,                0.87431,                0.72532,                0.78213,                0.52133,                0.86737,                0.77103,                0.93792,               0.008053,               0.008053,               0.008053
                     61,                0.98781,                0.88301,                 0.9896,                0.85987,                0.72781,                0.77155,                 0.5194,                0.88535,                 0.7806,                0.94545,                0.00802,                0.00802,                0.00802
                     62,                 1.0168,                0.94009,                 1.0082,                 0.8563,                0.72667,                0.81183,                 0.5243,                0.98093,                0.77545,                 0.9744,               0.007987,               0.007987,               0.007987
                     63,                  0.977,                0.91637,                0.99428,                0.80834,                0.70215,                0.79147,                0.53023,                 0.9209,                0.80815,                 0.9672,               0.007954,               0.007954,               0.007954
                     64,                 1.0394,                0.91726,                 1.0161,                0.87834,                0.67025,                0.80783,                0.52855,                0.99066,                0.83786,                0.98084,               0.007921,               0.007921,               0.007921
                     65,                0.92667,                0.88951,                 1.0033,                0.82076,                0.73917,                0.78528,                0.52204,                0.91204,                0.79614,                0.95896,               0.007888,               0.007888,               0.007888
                     66,                 1.0018,                0.95559,                 1.0234,                0.87206,                 0.7164,                0.77798,                0.50768,                 1.0082,                 0.7948,                0.98606,               0.007855,               0.007855,               0.007855
                     67,                0.96648,                0.89216,                 1.0167,                0.88262,                0.69934,                0.79926,                0.53273,                0.94228,                0.82344,                0.97011,               0.007822,               0.007822,               0.007822
                     68,                0.97801,                0.89575,                 1.0163,                 0.8602,                0.73764,                0.77812,                0.51783,                 1.0292,                 0.8664,                 1.0007,               0.007789,               0.007789,               0.007789
                     69,                0.98651,                0.88128,                 1.0017,                0.87759,                0.76083,                0.81258,                0.55553,                0.87619,                0.73931,                0.93582,               0.007756,               0.007756,               0.007756
                     70,                0.91866,                0.83939,                0.96546,                0.84374,                0.71818,                0.78817,                 0.5281,                0.92343,                0.77009,                0.95209,               0.007723,               0.007723,               0.007723
                     71,                  1.014,                0.91574,                 1.0262,                0.86359,                0.71529,                0.76108,                0.49552,                0.95779,                0.77604,                0.96311,                0.00769,                0.00769,                0.00769
                     72,                 1.0087,                0.88766,                 1.0144,                0.69308,                0.79494,                0.79627,                0.52455,                 0.8823,                0.76983,                0.93629,               0.007657,               0.007657,               0.007657
                     73,                0.96749,                0.86183,                 1.0319,                0.89811,                0.71477,                0.82338,                0.57377,                0.88536,                0.74267,                0.93236,               0.007624,               0.007624,               0.007624
                     74,                0.95746,                0.86029,                  1.003,                0.62795,                0.76214,                0.83461,                0.58946,                 0.8401,                0.69884,                0.91524,               0.007591,               0.007591,               0.007591
                     75,                0.94717,                0.84036,                0.98981,                0.69936,                0.82584,                0.85204,                0.59119,                0.85843,                0.67719,                0.91685,               0.007558,               0.007558,               0.007558
                     76,                0.96696,                0.83979,                 0.9754,                0.88236,                0.74249,                0.81607,                0.54498,                 0.9286,                0.66955,                0.94461,               0.007525,               0.007525,               0.007525
                     77,                0.95206,                0.83663,                 1.0037,                0.89051,                0.76753,                0.82783,                0.57494,                0.84509,                0.64438,                 0.9148,               0.007492,               0.007492,               0.007492
                     78,                0.89329,                0.82497,                 0.9819,                0.90725,                0.74828,                0.81793,                0.56348,                 0.8556,                0.66163,                0.92043,               0.007459,               0.007459,               0.007459
                     79,                0.97379,                0.88729,                0.99484,                0.90117,                0.75986,                0.80971,                0.54913,                0.90972,                0.66874,                0.94399,               0.007426,               0.007426,               0.007426
                     80,                0.93619,                0.86104,                0.99561,                0.85966,                 0.7785,                0.80287,                0.55069,                0.88107,                 0.6837,                0.93163,               0.007393,               0.007393,               0.007393
                     81,                0.97131,                0.85697,                0.98328,                 0.8369,                0.75988,                0.78772,                0.53596,                0.90267,                0.71404,                0.93342,                0.00736,                0.00736,                0.00736
                     82,                0.96582,                0.85579,                0.99544,                0.84191,                0.71856,                0.79863,                0.49993,                 1.1076,                0.78392,                 1.0121,               0.007327,               0.007327,               0.007327
                     83,                0.97453,                0.85934,                 1.0073,                0.88273,                0.70383,                0.80449,                 0.5032,                 1.1412,                0.78591,                 1.0305,               0.007294,               0.007294,               0.007294
